編號,鄉鎮市區,主要用途,單價元坪,建築完成年
RPRNMLPJNHOFFCA08DA,內湖區,住家用,659821.4876033058,093
RPQOMLQJNHOFFCA18DA,中山區,住家用,519276.03305785125,076
RPOSMLNJNHOFFCA08DA,內湖區,住家用,390796.69421487604,076
RPSNMLMKNHOFFBA87DA,萬華區,住家用,541636.3636363636,076
RPQNMLQJNHOFFAA87DA,文山區,住家用,526347.1074380166,083
RPUNMLNKNHOFFAA08DA,文山區,住家用,373484.29752066114,071
RPUOMLNKNHOFFAA18DA,文山區,住家用,446155.37190082646,099
RPPNMLSKNHOFFAA08DA,文山區,住家用,468241.3223140496,084
RPXNMLMJNHOFFBA28DA,萬華區,住家用,466181.8181818182,100
RPPNMLPJNHOFFBA77DA,中正區,住家用,745940.4958677687,097
RPPOMLRJNHOFFFA38CA,大安區,住家用,553355.3719008265,070
RPQNMLQKNHOFFFA38CA,大安區,住家用,653986.7768595042,106
RPUOMLNJNHOFFFA48CA,大安區,住家用,727841.3223140496,075
RPPOMLLLNHOFFDA77CA,信義區,住家用,499153.7190082645,""
RPSNMLKKNHOFFDA77CA,南港區,住家用,579451.2396694215,103
RPWPMLNJNHOFFDA58CA,南港區,住家用,517067.76859504136,096
RPPSMLPKNHOFFCA38CA,內湖區,住家用,840191.7355371901,072
RPQPMLPKNHOFFCA18CA,內湖區,住家用,679057.8512396695,107
RPVNMLOKNHOFFCA38CA,中山區,住家用,433831.4049586777,092
RPSPMLKKNHOFFCA87CA,中山區,住家用,783100.826446281,058
RPOOMLQJNHOFFCA87CA,內湖區,住家用,554919.0082644628,106
RPWQMLNJNHOFFCA58CA,內湖區,住家用,516661.1570247934,071
RPRRMLNJNHOFFCA18CA,內湖區,住家用,672400.0,105
RPTTMLNJNHOFFCA58CA,中山區,住家用,500152.0661157025,072
RPPNMLSLNHOFFBA18CA,萬華區,住家用,484000.0,100
RPVNMLNJNHOFFBA08CA,大同區,住家用,503447.93388429756,077
RPXNMLNJNHOFFBA28CA,大同區,住家用,458115.70247933886,081
RPROMLNJNHOFFBA77CA,大同區,住家用,686188.4297520661,100
RPUOMLNJNHOFFBA08CA,萬華區,住家用,456879.3388429752,076
RPQPMLKLNHOFFAA57CA,文山區,住家用,2910935.537190083,""
RPPNMLKKNHOFFAA17CA,文山區,住家用,509847.93388429756,058
RPQNMLKKNHOFFAA27CA,文山區,住家用,518624.79338842974,""
RPXPMLNJNHOFFAA38CA,文山區,住家用,426935.53719008266,""
RPTQMLNJNHOFFAA08CA,中正區,住家用,933755.3719008265,097
RPSOMLMJNHOFFAA67CA,中正區,住家用,417616.52892561984,""
RPPNMLNJNHOFFAA37CA,文山區,住家用,632009.9173553719,087
RPQNMLSJNHOFFAA97CA,文山區,住家用,430750.4132231405,070
RPWOMLKKNHOFFAA97CA,中正區,住家用,401953.7190082645,052
RPOPMLKKNHOFFAA27CA,中正區,住家用,444565.28925619833,""
RPSQMLSJNHOFFBA58CA,大同區,住家用,562819.8347107439,066
RPRSMLTJNHOFFCA88CA,中山區,住家用,475200.0,068
RPVNMLRJNHOFFCA58CA,內湖區,住家用,539514.0495867769,098
RPOQMLOLNHOFFCA08CA,內湖區,住家用,459100.826446281,095
RPVQMLLMNHOFFCA58CA,中山區,住家用,2029765.2892561983,103
RPXPMLNJNHOFFDA68CA,南港區,住家用,591639.6694214876,""
RPVOMLNLNHOFFDA58CA,松山區,住家用,714195.0413223141,075
RPWNMLLLNHOFFDA38CA,信義區,住家用,517947.10743801657,""
RPRPMLRJNHOFFEA58CA,士林區,住家用,451302.47933884297,091
RPXNMLPKNHOFFEA88CA,北投區,住家用,403659.5041322314,068
RPTOMLSJNHOFFEA78CA,北投區,住家用,448922.31404958677,073
RPOPMLNJNHOFFFA97CA,大安區,住家用,165408.26446280992,068
RPPPMLNJNHOFFFA08CA,大安區,住家用,189038.01652892563,068
RPVOMLLLNHOFFEA48CA,北投區,住家用,588727.2727272727,099
RPQOMLQKNHOFFFA48CA,大安區,住家用,1497953.7190082646,107
RPSOMLQKNHOFFFA68CA,大安區,住家用,1498552.0661157025,107
RPXOMLKLNHOFFFA68CA,大安區,住家用,157289.2561983471,073
RPPNMLQLNHOFFFA38CA,大安區,住家用,698264.4628099174,""
RPRNMLSKNHOFFFA68CA,大安區,住家用,330006.6115702479,""
RPWNMLTLNHOFFFA76CA,大安區,住家用,795087.6033057851,077
RPPNMLSKNHOFFCA28DA,內湖區,住家用,700707.438016529,096
RPPOMLRJNHOFFDA28DA,信義區,住家用,340264.46280991734,""
RPVNMLNJNHOFFDA38DA,信義區,住家用,590095.8677685951,059
RPROMLNKNHOFFCA08DA,內湖區,住家用,568823.1404958678,098
RPVQMLPKNHOFFDA98DA,松山區,住家用,563540.4958677687,093
RPQNMLMKNHOFFDA87DA,松山區,住家用,627385.1239669422,067
RPRNMLMKNHOFFDA97DA,松山區,住家用,974376.8595041323,100
RPSNMLRJNHOFFFA68DA,大安區,住家用,501014.87603305787,069
RPQNMLMKNHOFFFA08DA,大安區,住家用,1194307.438016529,092
RPSPMLRJNHOFFFA88DA,大安區,住家用,1431289.256198347,097
RPRNMLLKNHOFFFA08DA,大安區,住家用,808885.9504132231,095
RPRNMLLKNHOFFDA87DA,南港區,住家用,420413.2231404959,097
RPSQMLKKNHOFFEA28DA,士林區,住家用,633209.9173553719,073
